distritos,numero de iglesias
Ancón,5
Ate,10
Barranco,1
Breña,2
Carabayllo,8
Chaclacayo,1
Chorrillos,9
Cieneguilla,2
Comas,13
El Agustino,3
Independencia,3
Jesús María,6
La Molina,12
La Victoria,8
Lima,13
Lince,3
Los Olivos,10
Lurigancho-Chosica,3
Lurín,2
Magdalena del Mar,3
Miraflores,6
Pachacámac,2
Pucusana,120
Pueblo Libre,3
Puente Piedra,9
Punta Hermosa,2
Punta Negra,0
Rímac,8
San Bartolo,181
San Borja,12
San Isidro,3
San Juan de Lurigancho,23
San Juan de Miraflores,10
San Luis,1
San Martín de Porres,16
San Miguel,8
Santa Anita,5
Santa María del Mar,81
Santa Rosa,2
Santiago de Surco,22
Surquillo,2
Villa El Salvador,12
Villa María del Triunfo,14
