Distrito,V,%
Barranco,11604,36.92
Breña,22721,31.15
Carabayllo,30418,19.24
Chaclacayo,8111,28.42
Chorrillos,47107,25.27
Cieneguilla,3993,20.89
Comas,60134,19.37
El Agustino,21626,18.28
Independencia,25923,20.65
Jesús María,32604,40.79
La Molina,54075,46.75
La Victoria,39609,29.61
Lima,62332,29.25
Lince,22279,39.11
Los Olivos,52053,24.49
Lurigancho-Chosica,19396,19.17
Lurín,11320,23.05
Magdalena del Mar,21603,43.15
Miraflores,46868,55.85
Pachacámac,7177,12.3
Pucusana,799,9.05
Pueblo Libre,28940,42.52
Puente Piedra,41235,23.58
Punta Hermosa,1473,29.94
Punta Negra,1147,25.67
Rímac,31536,26.47
San Bartolo,903,16.68
San Borja,47091,55.02
San Isidro,29441,61.64
San Juan de Lurigancho,111039,20.07
San Juan de Miraflores,54955,23.14
San Luis,13953,32.55
San Martín de Porres,87400,23.97
San Miguel,42193,41.66
Santa Anita,25927,18.49
Santa María del Mar,416,43.02
Santa Rosa,1575,14.33
Santiago de Surco,104387,45.81
Surquillo,25644,37.11
Villa El Salvador,44354,17.99
Villa María del Triunfo,51512,20.61
